Name,Activation Rate,Skill Type,Skill Effects,Effective Targets,
Ambush,100 %,Preemptive Attack,,,
Dual,100 %,Continuous Attack,2 Attacks,,
Counter,100 %,Critical Counterattack,,,
Absorption,100 %,Damage Absorption,,,
Sure Attack,100 %,Sure Attack,Normal,,
Damage Guard,100 %,Damage Guard,Sword / Lance / Axe / Bow / Magic Guard Rate (%) 100,,
Survive,100 %,Immortal,Survive with 1 HP,,
Pursuit,,Pursuit,,,
Allow Critical,,Allow Criticals,,,
Critical Defense,,Invalidate,Critical,,
Unlimited Weapons,,Infinite Weapons,Sword / Lance / Axe / Bow / Magic,,
Auto Recovery,,Automatic Recovery,5 Recovery,,
Talent,,Experience Up,Rise Rate (%) 200,,
Discount,,Discount,Discount Rate (%) 200,,
Post-Movement,,Use Leftover Mov,,,
